Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2000,2000,tonnes,229794,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2002,2002,tonnes,694822,,Official data
QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1961,1961,tonnes,15100,*,Unofficial figure
QCL,Crops and livestock products,3,Albania,5510,Production,531,Cherries,1971,1971,tonnes,700,F,FAO estimate
QCL,Crops and livestock products,8,Antigua and Barbuda,5510,Production,486,Bananas,1977,1977,tonnes,11,,Official data
QCL,Crops and livestock products,100,India,5510,Production,515,Apples,1961,1961,tonnes,185000,,Official data
QCL,Crops and livestock products,105,Israel,5510,Production,486,Bananas,1983,1983,tonnes,66500,,Official data
QCL,Crops and livestock products,199,Slovakia,5510,Production,552,Blueberries,2018,2018,tonnes,50,,Official data
